id;first_name;last_name;middle_name;data_of_birth;created_at;update_at
2;Александр;Попов;Евгеньевич;1985-03-30;2013-12-28 18:38:09;2013-12-28 18:38:09
3;Михаил;Татарков;Васильевич;2000-07-09;2013-12-30 18:37:03;2013-12-30 18:37:03
4;Юлия;Корнилова;Сергеевна;1990-04-30;2013-12-30 19:22:02;2013-12-30 19:22:02
5;Андрей;Киселев;Юрьевич;1984-01-24;2013-12-30 19:33:57;2013-12-30 19:33:57
6;Матвей;Бесков;Никитович;1976-07-20;2020-05-12 18:37:02;2020-05-12 18:37:02
7;Екатерина;Бурлаку;Олеговна;2000-04-16;2020-05-12 18:37:34;2020-05-12 18:37:34
8;Сергей;Тищенко;Сергеевич;1999-08-30;2020-05-12 18:37:38;2020-05-12 18:37:38
9;Анна;Седлецкая;Игоревна;2001-06-25;2020-05-12 18:37:44;2020-05-12 18:37:44
10;Виталий;Андреев;Игорьевич;1990-11-17;2020-05-12 18:37:44;2020-05-12 18:37:44
11;Ксения;Шакирова;Альбертовна;2000-09-27;2020-05-12 18:37:46;2020-05-12 18:37:46
12;Геннадий;Кольчурин;Викторович;1996-05-12;2020-05-12 18:39:10;2020-05-12 18:39:10
13;Нина;Богомол;Алексеевна;2002-04-03;2020-05-12 18:39:39;2020-05-12 18:39:39
14;Юлия;Старокожева;Сергеевна;2000-10-26;2020-05-12 18:39:54;2020-05-12 18:39:54
15;Ксения;Вишневская;Борисовна;1981-08-16;2020-05-12 18:40:01;2020-05-12 18:40:01
16;Степан;Абраменко;Иванович;1971-08-30;2020-05-12 18:40:25;2020-05-12 18:40:25
17;Нина;Серова;Олесьевна;2001-01-19;2020-05-12 18:40:26;2020-05-12 18:40:26
18;Алина;Паристова;Алексеевна;1957-11-19;2020-05-12 18:40:45;2020-05-12 18:40:45
19;Екатерина;Беднова;Владимировна;1956-11-11;2020-05-12 18:40:45;2020-05-12 18:40:45
20;Магомет;Амиров;Ахмедович;1992-06-27;2020-05-12 18:40:57;2020-05-12 18:40:57
21;Зульфугар;Бабаев;Новрузали;1953-02-06;2020-05-12 18:41:20;2020-05-12 18:41:20
22;Павел;Гурьянов;Германович;1955-08-02;2020-05-12 18:41:30;2020-05-12 18:41:30
23;Валентин;Богатов;Александрович;1998-05-01;2020-05-12 18:41:59;2020-05-12 18:41:59
24;Виктория;Абызова;Юрьевна;2000-08-01;2020-05-12 18:42:07;2020-05-12 18:42:07
25;Дахир;Хатуев;Мамедович;1990-08-21;2020-05-12 18:42:13;2020-05-12 18:42:13
26;Максим;Королев;Александрович;2001-02-18;2021-04-12 18:42:21;2021-04-12 18:42:21
27;Валерия;Валиева;Романовна;1993-01-02;2021-04-10 18:42:21;2021-04-10 18:42:21
28;Игорь;Бердников;Андреевич;1977-10-25;2021-04-08 18:42:21;2021-04-08 18:42:21
29;Алексей;Симонов;Викторович;1999-02-09;2021-04-12 18:42:21;2021-04-12 18:42:21
30;Руслан;Косолапов;Сергеевич;1993-02-01;2020-05-12 18:43:47;2020-05-12 18:43:47
31;Иван;Ревякин;Юрьевич;2002-03-31;2020-05-12 18:44:10;2020-05-12 18:44:10
32;Виктор;Телегин;Николаевич;1992-07-02;2020-05-12 18:44:25;2020-05-12 18:44:25
33;Александр;Войнов;Владимирович;1992-04-02;2020-05-12 18:44:51;2020-05-12 18:44:51
34;Ефим;Попов;Николаевич;2000-03-15;2020-05-12 18:45:17;2020-05-12 18:45:17
35;Екатерина;Смирнова;Сергеевна;1979-10-12;2020-05-12 18:45:17;2020-05-12 18:45:17
36;Надежда;Трухнева;Геннадиевна;1986-05-04;2020-05-12 18:45:32;2020-05-12 18:45:32
37;Роман;Иванов;Владимирович;1978-06-16;2020-05-12 18:46:19;2020-05-12 18:46:19
38;Евгений;Чучалин;Викторович;2002-05-04;2020-05-12 18:46:42;2020-05-12 18:46:42
39;Александр;Камский;Сергеевич;1977-12-15;2020-05-12 18:47:06;2020-05-12 18:47:06
40;Каиржан;Душанов;Хасанович;1997-07-04;2020-05-12 18:47:52;2020-05-12 18:47:52
41;Соня;Маркосян;Ервандовна;1980-04-04;2020-05-12 18:48:03;2020-05-12 18:48:03
42;Миляуша;Гильфанова;Эдуардовна;1984-04-26;2020-05-12 18:48:38;2020-05-12 18:48:38
43;Михаил;Чернявский;Сергеевич;1967-03-06;2020-05-12 18:48:40;2020-05-12 18:48:40
44;Валерий;Романов;Александрович;1958-05-03;2020-05-12 18:48:53;2020-05-12 18:48:53
45;Алиса;Забитова;Руслановна;1996-04-24;2020-05-12 18:48:55;2020-05-12 18:48:55
46;Роман;Ягодников;Олегович;2002-02-03;2020-05-12 18:49:14;2020-05-12 18:49:14
47;Алексей;Городских;Андреевич;1987-02-09;2020-05-12 18:49:38;2020-05-12 18:49:38
48;Александр;Федонов;Александрович;1972-02-08;2020-05-12 18:49:38;2020-05-12 18:49:38
49;Юлия;Кривова;Сергеевна;1998-01-01;2020-05-12 18:50:45;2020-05-12 18:50:45
